insee_code,commune_name,percent_main_housing_year_2020,percent_secondary_housing_year_2020,percent_main_housing_year_2020,percent_vacant_year_2020,percent_single_family_home_year_2020,percent_homeownership_year_2020,percent_renting_year_2020,percent_social_housing_year_2020
01233,Marchamp,60.6,35.4,4,3,97,80.3,18,0
01234,Marignieu,81.9,6.4,11.7,9.5,90.5,82.1,15.4,0
01235,Marlieux,90.2,2.6,7.2,32.1,66.8,55.8,42.7,13.3
01236,Marsonnas,86.3,4.1,9.5,4.4,95.2,80.8,16.1,1
01237,Martignat,92.3,1.5,6.2,24.1,75.6,70.9,28.1,19.1
01238,Massieux,96.1,1.1,2.8,14,85.3,79.5,19.7,10.2
01239,Massignieu-de-Rives,81.1,13.9,5,2.3,97.7,83.6,14.7,0
01240,Matafelon-Granges,70.1,23,7,5,93.6,86.9,10.5,1.3
01241,Meillonnas,89.4,4.7,5.9,9.2,88.6,77.2,22,10.5
01242,Mérignat,67.2,16.4,16.4,5.5,93.4,60.7,32.8,6.6
01243,Messimy-sur-Saône,89.4,6.8,3.8,5.9,92.1,87.6,10,0.4
01244,Meximieux,90.7,2.2,7,45.8,53.5,51.8,46.8,20.2
01245,Bohas-Meyriat-Rignat,81.2,9.3,9.5,5.5,93.8,80.7,16.6,1.3
01246,Mézériat,89.9,1.4,8.7,18.2,79.5,68.8,30.2,12
01247,Mijoux,19.5,78.6,1.9,69.6,30.4,71.4,26.4,11.4
01248,Mionnay,97,1.1,1.9,25.5,74.1,79.6,19.6,10.8
01249,Miribel,90.1,1,8.9,53,46.8,56.1,41.6,17.1
01250,Misérieux,96.1,0.8,3,6.8,92.9,82.4,15,5.5
01252,Mogneneins,85.8,7.4,6.8,2.5,96.7,83.1,13.4,0
01254,Montagnat,90,1.7,8.3,4.2,95.7,86.2,12.8,5.3
01255,Montagnieu,80.1,14.9,5.1,7.7,92.3,71.4,24.5,3.7
01257,Montanges,72.9,17.6,9.5,13.8,86.2,81.7,15.1,2.6
01258,Montceaux,93.8,1.3,4.9,4.3,95.5,83.8,14.3,4.9
01259,Montcet,95.7,2.1,2.1,5.4,94.6,81,17.5,7.5
01260,Le Montellier,85.4,9.2,5.4,3.8,96.2,82,16.2,0
01261,Monthieux,86.4,4.2,9.4,10.2,88.8,78.1,17,6.8
01262,Montluel,90.9,1,8,55.4,44.1,54.6,43.5,19.3
01263,Montmerle-sur-Saône,91.9,1.9,6.1,24.1,75.7,69.9,28.5,4.3
01264,Montracol,95.2,1.2,3.7,9.2,90.6,75.6,22.7,8.5
01265,Montréal-la-Cluse,91.2,2.3,6.5,54.9,44.4,44.6,54,32.8
01266,Montrevel-en-Bresse,88.1,2.4,9.5,38,61.8,58,40.2,16.2
01267,Nurieux-Volognat,90.9,3.7,5.4,16.8,82.8,78.2,21.1,9.7
01268,Murs-et-Gélignieux,79.3,14.1,6.7,1.5,97,84,15,3.8
01269,Nantua,74.5,5.2,20.2,80,19.8,36.2,60.7,24.8
01272,Neuville-les-Dames,87.2,3.3,9.6,24.7,72.1,65.7,32.3,8.9
01273,Neuville-sur-Ain,83.8,8.7,7.5,7.1,92.5,78.3,19.5,5.7
01274,Les Neyrolles,86.2,3.1,10.7,24.9,74.7,59,39.4,18.5
01275,Neyron,94.7,1.8,3.5,28.1,71.6,72.7,25.1,10.5
01276,Niévroz,96.3,1,2.7,3.2,95.9,89.8,8.8,0.2
01277,Nivollet-Montgriffon,57.5,28.7,13.8,7.8,92.2,66.1,32.2,0
01279,Oncieu,54.8,37.2,8,1.3,92,82.2,15.6,0
01280,Ordonnaz,54.6,33.2,12.2,3,97,87.5,12.5,0
01281,Ornex,87.1,5.9,7,52.4,47.2,56.2,41.5,15.8
01282,Outriaz,84,10.7,5.3,9.2,90,75.5,14.5,2.8
01283,Oyonnax,84.8,2.1,13.1,72.7,26.2,36.2,62.1,39.9
01284,Ozan,88.9,1.6,9.5,8.5,91.5,76.5,20.6,5.3
01285,Parcieux,91.8,3.1,5.1,12.7,86.8,75.2,23.9,1.3
01286,Parves et Nattages,82.8,8.5,8.7,1,98.4,91.2,7.3,0
01288,Péron,86.5,5.8,7.6,38.4,61.4,70.5,27.3,4.7
01289,Péronnas,92.6,2.2,5.2,34.3,65.3,65.9,33.3,17.3
01290,Pérouges,89.8,3.6,6.6,22.2,76.6,68.9,29.2,7.9
01291,Perrex,91.5,4.3,4.3,7.7,91.3,81.2,17.9,2.4
01293,Peyriat,83.2,14,2.8,4.1,95.9,90.8,9.2,0
01294,Peyrieu,85,5.1,9.8,3.6,96.4,82.7,15.5,5.6
01295,Peyzieux-sur-Saône,94.6,1.6,3.8,4.7,95.3,78.3,20.4,0.5
01296,Pirajoux,86.8,5.4,7.8,6.5,93,78.9,19.9,2.9
01297,Pizay,93.6,2,4.4,5.6,94.4,88.5,11.5,5.6
01298,Plagne,66.4,25.8,7.8,5.7,94.3,89.7,10.3,0
01299,Le Plantay,91.9,1.8,6.3,11.4,87.6,77.2,15,4.5
01301,Polliat,88.8,2.2,9,19.9,77.5,73.3,25.8,7.4
